0.103,0.039,0.327,0.324,0.097,0.083,0.093,0.081,0.101,0.177,0.133,0.137
0.328,0.178,0.044,0.123,0.077,0.235,0.089,0.063,0.175,0.102,0.07,0.079
0.053,0.062,0.07,0.135,0.102,0.342,0.356,0.123,0.067,0.099,0.198,0.18
0.095,0.062,0.18,0.084,0.326,0.114,0.061,0.298,0.125,0.049,0.355,0.265
0.055,0.314,0.177,0.082,0.087,0.062,0.082,0.068,0.347,0.358,0.041,0.054
0.338,0.181,0.068,0.178,0.347,0.067,0.069,0.115,0.059,0.374,0.061,0.04
0.05,0.049,0.047,0.051,0.066,0.046,0.051,0.06,0.049,0.056,0.049,0.049
0.055,0.058,0.05,0.052,0.047,0.049,0.047,0.049,0.052,0.048,0.048,0.049
